tokens,neg_score,neu_score,pos_score
tải xong rồi mà cập nhật l được cc gì hết,0.35075765048733903,0.3409706696020191,0.3082716799106419
chò cúng hay cho sao,0.3917031993996728,0.3810278871877836,0.22726891341254354
vì ứng dụng này đã khiến tôi bị khóa máy nó đã đăng nhập rất nhiều virus vào máy tôi tôi khuyên tất cả mn đừng tải nó về kẻo bay máy,0.406606489374949,0.2671014303187882,0.32629208030626283
sỹ l ủa au,0.3616796931442746,0.32794433374881765,0.31037597310690773
game dễ quá quyết định cho sao,0.3904903848041537,0.3218006209865317,0.2877089942093146
lag vãi cả lồn như cặc,0.4638417329312779,0.2558961082132939,0.28026215885542816
game chơi hay lối rất nhiều tôi vượt kỉ luật sắp đứng top thì tôi chết tôi coi quảng cáo hồi sinh tự nhiên bị bay game vô lại không tính kỉ luật mà ván lướt phụ kiện tôi tích bay hết là sao game lỗi rất nhiều,0.41715617029550733,0.40515983943425654,0.17768399027023615
tải lại mất hết đồ và nhân vật kay,0.41020414772853453,0.30990097748772916,0.27989487478373637
mãi không cập nhật được,0.388280852114871,0.28584611816617467,0.3258730297189544
game như PROFANE mẹ chay lag xong game chày được rồi mất mẹ điểm với hạng đã vậy còn mất những thứ đã sài,0.41378289178315864,0.38070039774612363,0.2055167104707178
tải mà tàn phá cái gì không mà,0.5178304335548052,0.2930816225033509,0.18908794394184397
cho map địa hình chặn hết luôn không cho lối phát hành ổng bị gì vậy hả không cho lối thoát cho người chơi như vậy à,0.354169585559807,0.4554608733997557,0.19036954104043724
game như sịt không có skin đạt,0.35148155601170905,0.42335945365615274,0.22515899033213818
tự nhiên mất hết tất cả tài sản k còn gì nữa,0.39862158908126794,0.34693151885917367,0.2544468920595585
h gì d en n,0.389935411553198,0.3335256822739742,0.2765389061728277
tệ tệ tệ tệ tệ tệ tệ,0.708286919711873,0.17025991018237183,0.12145317010575526
tại ông bảo vệ béo quá lên tới cho sao,0.3905746527160034,0.3447466718540443,0.26467867542995244
chơi song xem quảng cáo rồi mất hết điểm đang chạy luôn cho sao xóa game,0.3916000827387197,0.3927015193395237,0.21569839792175663
quá tức giận game gì mới chơi được,0.36923228418783505,0.33664932323873525,0.2941183925734298
