tokens,neg_score,neu_score,pos_score
trò này là trò tôi thích nhất,0.22227352363393513,0.2497896165189241,0.5279368598471408
game rất hay tôi se uý ho tiếp,0.26815964663440767,0.3031655871753708,0.42867476619022166
chơi rất hay những tải vê,0.19114789060528134,0.306700980861375,0.5021511285333436
tôi thấy phiên bản này rất tuyệt vời,0.187742643343504,0.18806801049948363,0.6241893461570123
hay được tốt tôi thấy rất hay,0.1728786268095115,0.2165109742812039,0.6106103989092846
game chua choi ma thay vui,0.3071713386550154,0.33680445251313745,0.3560242088318472
tôi thấy thấy rất là hay,0.2602714247830628,0.276719602994799,0.46300897222213816
rất tuyệt giúp luyện sự tập trung,0.235502621934868,0.2068612064079107,0.5576361716572213
hay nhưng nhan và qua mất chung nao moi co phiên băn moi vay,0.3966092607233706,0.26963693433704633,0.33375380493958307
game hay tôi đ lên được top,0.26012220006386777,0.37278951941626565,0.3670882805198665
game này thật hay tôi bị nghiền game này rồi,0.2910972642304621,0.3699271476248553,0.3389755881446826
game này hay lắm mn nên tải về có tính giải trí cao,0.20793590058940284,0.4226303402670849,0.3694337591435123
rất hay về tựa game này,0.22915743870682848,0.3192024685953653,0.4516400926978063
chơi rất vui mình rất thích,0.14366815889795445,0.17698839608789146,0.6793434450141541
game này hay đó tại sao bạn không đăng lên lên mạng luôn đi,0.23468906651288193,0.4427777290108975,0.3225332044762205
rat voi very very well good good good,0.1997907838717881,0.21303121248168025,0.5871780036465316
cũng khá là hay nha mọi người,0.22410447376885892,0.42059422850414563,0.35530129772699537
pi game pi báo dừng mong sữa hầu như tất cả đều lỗi,0.34461219918785463,0.30256668194336045,0.35282111886878487
trò này chơi hay lắm,0.30104578888460803,0.35200829604257033,0.34694591507282174
hello toi không cai nay hay thu tang nhiều qua cho PROFANE ban nu nua mung thang roi,0.2854279360504216,0.3844785133479072,0.3300935506016712
h can van van b cm b b b b b b m c,0.3012634215534486,0.32763873802174087,0.3710978404248104
đinh công minh là người giàu nhất việt nam và là người đẹp trai nhất thế giới,0.21425632034623288,0.3937081654274245,0.39203551422634264
khang mạnh nhất ha ha ha,0.22405071089226755,0.41857883926186035,0.3573704498458721
cha la lu mu ha,0.2055083959094753,0.42284329250271613,0.37164831158780864
game rất hay nê tui cho sao,0.25533195899103217,0.3573393215790817,0.3873287194298861
nó rất hay tôi rất thích,0.1654864947591537,0.1456192610332956,0.6888942442075507
chơi cũng vui PROFANE mà,0.2966188239827556,0.3786165264995195,0.32476464951772493
các bạn kêu không vuốt được là cơ thể nó map,0.23941465452639848,0.4421544247549025,0.31843092071869894
trò này rất hay nó đã đụ tôi khiến tôi rên như con cú làm,0.35857900218472194,0.2104761506020822,0.4309448472131959
chơi thích và hay lắm,0.23644261165641942,0.2865325580597985,0.477024830283782
tôi thích con game nằm trong những game yêu thích của tôi cùng với of,0.23517174472291474,0.3160783622317161,0.4487498930453691
game hay thư giãn rất you,0.26511634197066203,0.36086561861616023,0.3740180394131778
game rất tải về mà chơi,0.2227797675910043,0.3871372679275736,0.39008296448142205
tôi rất thích trò chơi này tôi cho sao rất hay thật tuyệt vời,0.17638441297276358,0.13223724721508287,0.6913783398121536
